id	compound	dbid	dblink	peaks
DBREF0054	isocitrate	HMDB00193	http://www.hmdb.ca/spectra/nmr_one_d/1169	4.0352,4.0255,3.0386,3.0285,3.025,3.0219,3.0152,3.0119,3.0087,2.9987,2.5703,2.5534,2.5391,2.5222,2.4686,2.4551,2.4374,2.424
DBREF0055	lysine	HMDB00182	http://www.hmdb.ca/spectra/nmr_one_d/1151	3.7779,3.7657,3.7537,3.0432,3.0281,3.0129,1.94,1.929,1.9196,1.9076,1.8997,1.8875,1.7639,1.7483,1.733,1.7179,1.7028,1.5463,1.5333,1.5282,1.5199,1.5151,1.5011,1.4882,1.4757,1.4716,1.4577,1.4455,1.4383
DBREF0056	maltitol	HMDB02928	http://www.hmdb.ca/spectra/nmr_one_d/1916	5.1308,5.123,4.0102,4.0027,3.9954,3.9882,3.9806,3.9176,3.9077,3.9016,3.8965,3.8897,3.8795,3.8708,3.862,3.8409,3.8367,3.8169,3.8084,3.7979,3.7933,3.7849,3.7734,3.7655,3.7464,3.7273,3.7199,3.7101,3.6964,3.687,3.681,3.6771,3.6727,3.6634,3.6575,3.6546,3.6403,3.6001,3.5923,3.5803,3.5725,3.4685,3.4494,3.4301
DBREF0057	Mannose	HMDB00169	http://www.hmdb.ca/spectra/nmr_one_d/1134	5.1867,5.1835,4.9079,4.906,3.9525,3.951,3.9458,3.9425,3.9387,3.9356,3.932,3.9243,3.9198,3.8999,3.8953,3.8915,3.8873,3.8677,3.8631,3.8558,3.8431,3.8366,3.8297,3.8254,3.8217,3.8178,3.8097,3.806,3.7811,3.7694,3.7574,3.7537,3.7457,3.741,3.7291,3.7166,3.6782,3.6697,3.6587,3.6503,3.6393,3.5942,3.5747,3.5553,3.407,3.4025,3.3945,3.3898,3.3878,3.3831,3.375,3.3705
DBREF0058	Melezitose	HMDB11730		5.4577,5.4502,5.2051,5.1977,4.3251,4.3105,4.2967,4.2797,3.9436,3.9343,3.9307,3.9242,3.9204,3.9155,3.9103,3.8992,3.8771,3.8735,3.8534,3.8454,3.8176,3.808,3.7996,3.7927,3.7828,3.7746,3.7663,3.7471,3.7282,3.6857,3.6753,3.6666,3.6493,3.6069,3.5995,3.585,3.5777,3.5646,3.557,3.4778,3.4689,3.4585,3.4497
DBREF0059	Nicotine	HMDB14330		8.7101,8.7064,8.674,8.6662,8.6641,8.1187,8.1026,7.6524,7.6425,7.6365,7.6264,4.5522,4.5365,4.5327,4.5164,3.912,3.8984,3.887,3.8755,3.8623,3.4441,3.4267,3.4214,3.4096,3.4035,3.3865,2.8153,2.6708,2.6602,2.6554,2.6445,2.6291,2.6177,2.6032,2.4739,2.4581,2.4539,2.4467,2.4386,2.4328,2.4265,2.4182,2.4122,2.406,2.3918,2.3803,2.3759,2.3649,2.3595,2.349,2.3382,2.3339,2.3226,2.314
DBREF0060	Ornithine	HMDB00214	http://www.hmdb.ca/spectra/nmr_one_d/1206	3.8095,3.7975,3.7854,3.0741,3.0588,3.0438,1.9976,1.9819,1.9756,1.9695,1.9625,1.9567,1.9492,1.9439,1.9357,1.9325,1.9154,1.8847,1.87,1.8551,1.8443,1.839,1.8303,1.8247,1.816,1.8104,1.7964,1.782,1.7701,1.76,1.7554,1.7487,1.7415,1.7363,1.7218
DBREF0061	Phytic acid			4.9832,4.9628,4.4717,4.4525,4.4332,4.4139,4.21,4.191,4.1827,4.1718,4.1641,4.1529,4.1466,4.1297
DBREF0062	Prunasine	HMDB34934		7.6195,7.6157,7.6084,7.6008,7.5429,7.539,5.9028,4.56,4.5444,3.9282,3.9037,3.7616,3.7542,3.736,3.7292,3.4247,3.4162,3.3648,3.3566,3.3488,3.3319
DBREF0063	Putrescine	HMDB01414	http://www.hmdb.ca/spectra/nmr_one_d/1703	3.0724,3.061,3.0491,1.8095,1.7941,1.7872,1.7806,1.774,1.7671,1.7516
